0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
"[0.38610850867559077, 0.1631463857797476, 0.1661821328676664]","[0.15401077040845124, 0.12338294432713436, 0.12600763944479135]","[0.12778407216861548, 0.1101761872951801, 0.11276804483853854]","[0.11484809154347438, 0.10482344260582557, 0.10747817846444938]","[0.10581105764482052, 0.09658258694868821, 0.09871238928574783]","[0.09884293548749341, 0.09411104825826791, 0.09627808974339412]","[0.09331684698188686, 0.08994676516606258, 0.0918412391956036]","[0.0884081744630964, 0.08427644692934476, 0.0863098272910485]","[0.084105646086342, 0.08285363820882943, 0.08470517855424148]","[0.08077968939609516, 0.07855028372544509, 0.08040262185610257]","[0.0773633099119036, 0.07632538447013268, 0.07802153550661527]","[0.07459652675052209, 0.07266044158201951, 0.07435500621795654]","[0.0720641143633471, 0.07081691118387076, 0.0728734410726107]","[0.07010046162567965, 0.06959507098564735, 0.07143502969008225]","[0.06803425071757647, 0.06848738285211417, 0.0701049749667828]","[0.06789503838196352, 0.0667462761585529, 0.0684816653911884]","[0.06443497246105509, 0.06569568927471454, 0.06760965402309711]","[0.06312107681008006, 0.06467770154659565, 0.06654208898544312]","[0.06190798470659618, 0.06346032711175773, 0.06535393916643582]","[0.06065574430113166, 0.06274444781816922, 0.06459475022095901]","[0.06045268114470058, 0.06171572666901808, 0.06372085442909828]","[0.05816270069211883, 0.06095420855742235, 0.0629657140144935]","[0.05737560531735635, 0.060635034854595475, 0.06277066927689773]","[0.056450216257737246, 0.06005320640710684, 0.06207007628220778]","[0.055475105225932235, 0.060478609341841474, 0.06262996105047372]","[0.054862213594091006, 0.06846796090786274, 0.07101129568540133]","[0.05449198815278588, 0.05758144305302547, 0.0598180156487685]","[0.05285546694944452, 0.05749152715389545, 0.059664749182187594]","[0.052361297148096494, 0.05733637626354511, 0.0593637778208806]","[0.05170224790900389, 0.05604554139650785, 0.05845712698422945]","[0.05084756739809885, 0.056348126668196455, 0.0586057213636545]","[0.05219067154987112, 0.055014578195718616, 0.057252585887908936]","[0.049392020393752824, 0.05472763226582454, 0.0568891901236314]","[0.049004625369812045, 0.054929228929372936, 0.05725016043736385]","[0.048445006295329905, 0.054456981328817516, 0.05674580427316519]","[0.04799738452780469, 0.05510642436834482, 0.0574571261039147]","[0.04755736000203426, 0.05375399956336388, 0.05591002335915199]","[0.05206752182273244, 0.0522125638448275, 0.054643250428713284]","[0.04616970128858039, 0.05270634706203754, 0.05505548990689791]","[0.04592401733030977, 0.05278963767565214, 0.05508005160551805]","[0.045473180285137436, 0.05254533199163584, 0.0548893167422368]",,
"[0.20757880259679787, 0.12963970807882455, 0.13218972316155067]","[0.11803919948920079, 0.10649371147155762, 0.10920486083397499]","[0.10146858633318126, 0.09438956700838529, 0.09693591411297138]","[0.09188158378624041, 0.08807350122011624, 0.0905686066700862]","[0.08565976431684132, 0.08209533874805157, 0.08418718668130729]","[0.08070115394293724, 0.07852256298065186, 0.08054218842433049]","[0.0766958182723604, 0.07484711133516751, 0.07666184351994441]","[0.07314706580743668, 0.0726996110035823, 0.07469189625519973]","[0.07024301785004562, 0.06902922116793118, 0.07094623033816998]","[0.06773837168198045, 0.06753509778242844, 0.0696448592039255]","[0.0655646189230885, 0.06577130005909847, 0.06774811102793767]","[0.06374297121933323, 0.0649650922188392, 0.06701231002807617]","[0.0620762493723778, 0.06383191163723285, 0.06595584520926842]","[0.060579514661372104, 0.06285815514050998, 0.06474373432306144]","[0.05931028381016942, 0.06239389456235445, 0.06420040589112502]","[0.05811200954338501, 0.06118960563953106, 0.06306032492564274]","[0.0570789086825872, 0.06079098353019127, 0.06268034990017231]","[0.05598380348899148, 0.05951618689757127, 0.06120971532968374]","[0.05501909158374802, 0.058607170215019815, 0.060230002953456]","[0.05413599720494996, 0.05794634727331308, 0.05970550500429594]","[0.053271652488088406, 0.05727397020046528, 0.05881426426080557]","[0.0524450826903268, 0.05632738425181462, 0.0579683230473445]","[0.051807153232122025, 0.0561979183783898, 0.05784435914112972]","[0.05104088826325914, 0.055381256800431475, 0.05697820278314444]","[0.05038078257579677, 0.05555944717847384, 0.057184113905980036]","[0.049766090388473155, 0.05464312204947838, 0.0563393235206604]","[0.04916425012523047, 0.054274371037116416, 0.05594066473153921]","[0.048567995258586225, 0.05429552610103901, 0.05588662624359131]","[0.048060279951836246, 0.05396370245860173, 0.055559405913719766]","[0.04742674623750047, 0.05351324723317073, 0.055190480672396146]","[0.04692765246809857, 0.053595116505256064, 0.05525833826798659]","[0.046467371693151245, 0.05326180274669941, 0.05499951197550847]","[0.04591395351127427, 0.05270079466012808, 0.05439201226601234]","[0.045470681555080245, 0.052878182667952314, 0.054445042059971735]","[0.04501531096842546, 0.05241874548105093, 0.05420850331966694]","[0.04459969499325049, 0.051945310372572676, 0.05385838563625629]","[0.04408821321839959, 0.051925379496354326, 0.053731753275944635]","[0.04370722578348416, 0.05180944387729351, 0.05355398471538837]","[0.043281711346409825, 0.05203007734738863, 0.05384962833844698]","[0.042900471282536407, 0.05101779791025015, 0.05270907053580651]","[0.04255125997728213, 0.05171944544865535, 0.05331534147262573]","[0.04214952940828896, 0.051943027056180514, 0.05371206998825073]","[0.0418192698681376, 0.051333688772641696, 0.05296775010915903]"
"[0.267892597526904, 0.1524894512616671, 0.15441353504474348]","[0.11631534215845593, 0.0964351433974046, 0.09969625106224647]","[0.07871815442034166, 0.07609267418201153, 0.0790854417360746]","[0.06042114386423606, 0.0674520364174476, 0.07039421796798706]","[0.04838508270649505, 0.06297389360574576, 0.06592556146474984]","[0.04005691188419533, 0.06141278376946083, 0.0642332388804509]","[0.03390341936142455, 0.06210924570377056, 0.0648222749049847]","[0.02914725435131792, 0.06289839286070603, 0.06560271519881028]","[0.03642572659028, 0.06265427974554208, 0.0653640077664302]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.15851375756674255, 0.0986159214606652, 0.1016926306944627]","[0.08648311424370203, 0.07685562280508187, 0.07955734546367939]","[0.06824287630433709, 0.06597789434286264, 0.06865678842251118]","[0.05724637871546461, 0.060573036854083724, 0.06331166854271522]","[0.0499302532786278, 0.05725825291413527, 0.059811954314892106]","[0.04447109307387304, 0.05544486412635216, 0.05783957242965698]","[0.040244619793234494, 0.0561174933726971, 0.058227213529440075]","[0.03694125502171249, 0.05611528341586773, 0.058062195777893066]","[0.033917731940208036, 0.055400614555065446, 0.057236043306497425]","[0.03133409558686056, 0.054705101710099444, 0.056536926673008844]","[0.029199210941468573, 0.05363970994949341, 0.05538254517775316]","[0.027991853515331032, 0.056936837159670316, 0.05890860924353966]","[0.026911694769540657, 0.055265151537381686, 0.05676358479719896]","[0.02552667028713054, 0.05376191322620098, 0.055195290308732256]","[0.023908675972917293, 0.05394521126380333, 0.05526310663956862]","[0.022102027539385866, 0.05398663190694956, 0.05525981004421528]","[0.020522136561917943, 0.05441516637802124, 0.055726161369910605]",,,,,,,,,,,,,,,,,,,,,,,,,,
